Company_ID,Revenue_Accuracy,Expenditure_Accuracy,Average_Accuracy,Records
0,94.62067818632583,89.18493892500908,91.90280855566746,16
1,93.27290153334131,85.51366211924595,89.39328182629363,16
2,87.33653954740178,82.66186227457331,84.99920091098755,16
3,89.48004561182694,81.12859703012255,85.30432132097474,16
4,88.56684307484493,86.95860314605171,87.76272311044832,16
5,86.10399723950522,83.38327213571812,84.74363468761166,16
6,93.22694539195514,88.17306186360788,90.70000362778151,16
7,92.49131529002884,87.7185220648408,90.10491867743482,16
8,92.90070279889198,85.71329696502013,89.30699988195606,16
9,87.98559578344783,83.42611083576473,85.70585330960628,16
10,94.86965361694566,91.68834142113295,93.27899751903931,16
11,92.3443321978693,84.24455042097827,88.29444130942379,16
12,90.4417867353285,86.42931437164437,88.43555055348644,16
13,89.57822208235143,88.42660845612482,89.00241526923813,16
14,92.73380522679561,87.00350590058676,89.86865556369119,16
15,89.52175472821291,85.80861316717449,87.66518394769369,16
16,92.68834739599869,84.758094791629,88.72322109381385,16
17,94.53868770224133,86.85270746318591,90.69569758271362,16
18,91.80385994757188,85.62974292091516,88.71680143424352,16
19,92.724926282942,86.95727140247877,89.84109884271038,16
20,91.4112323232696,84.5404997562308,87.9758660397502,16
21,92.57627922071285,86.14459047522216,89.3604348479675,16
22,93.34290744220542,88.75095953612012,91.04693348916277,16
23,92.98765210790427,85.85259050484648,89.42012130637536,16
24,94.0487323384943,88.35099686925648,91.1998646038754,16
25,94.01421569994821,90.37820427969169,92.19620998981995,16
26,93.08670490585075,87.28685478350043,90.18677984467558,16
27,92.20950727242027,89.46917747891756,90.8393423756689,16
28,92.84754727471403,89.98429380034551,91.41592053752977,16
29,83.42209176190045,76.43766676364575,79.9298792627731,16
30,92.83536061152958,86.12027144913698,89.47781603033329,16
31,89.89245380780775,85.15782823523715,87.52514102152244,16
32,90.80920386409294,87.03967382732748,88.9244388457102,16
33,90.96964737549244,84.25208692044882,87.61086714797062,16
34,92.92701661867729,88.60918270912661,90.76809966390195,16
35,92.84301967980377,81.7266012143255,87.28481044706464,16
36,91.61732928013033,87.19155390107576,89.40444159060306,16
37,93.01063837182156,87.87632389303334,90.44348113242745,16
38,93.64167024554479,88.93736458239682,91.2895174139708,16
39,90.54076999349614,84.5631392828401,87.55195463816813,16
40,94.79397003292864,89.23107589283069,92.01252296287967,16
41,89.07337653857952,82.72432186900329,85.8988492037914,16
42,93.83082376053532,89.24215333207258,91.53648854630396,16
43,93.6195056877201,91.18142014587654,92.40046291679832,16
44,87.15455735910625,87.17694337987976,87.165750369493,16
45,89.94789573433314,81.12456184692516,85.53622879062915,16
46,92.71793391964803,84.90832588757257,88.8131299036103,16
47,93.484086696536,92.22065594662762,92.85237132158181,16
48,91.90061115311279,88.16580543313565,90.03320829312422,16
49,90.34333923464895,89.0533917444536,89.69836548955128,16
